,d1,d2,sim
487,Cerebral Infarction,Cognition Disorders,0.010043847
488,Cerebral Infarction,Coma,0.145977144
489,Cerebral Palsy,Chorea,0.144679174
490,Cerebral Palsy,Cleft Palate,0.199114115
491,Cerebral Palsy,Conversion Disorder,0.294349685
492,Cerebrospinal Fluid Rhinorrhea,Chordoma,1
493,Cerebrovascular Disorders,Child Behavior Disorders,0.372935908
494,Cerebrovascular Disorders,Chromosome Aberrations,0.372935908
495,Cerebrovascular Disorders,Coma,0.061181087
496,Chorea,Conversion Disorder,0.173279326
497,Choriocarcinoma,Colorectal Neoplasms,1
498,Choriocarcinoma,"Constriction, Pathologic",1
499,Cleft Lip,Cleft Palate,0.705380022
500,Colorectal Neoplasms,"Constriction, Pathologic",1
501,Coronary Aneurysm,Coronary Artery Disease,0.906643196
502,Coronary Aneurysm,Coronary Disease,0.914952544
503,Coronary Artery Disease,Coronary Disease,0.992664119
